,subj,echo,coil,diff_real,diff_imag,perc_real,perc_imag
58,27,2,27,957.349609375,888.75537109375,16.725613378497943,15.55033443747422
59,27,2,28,1125.9638671875,1069.54443359375,21.272928850383572,20.28466148814088
60,27,2,29,7959.03857421875,7971.68896484375,80.54111699787452,80.24120795561703
61,27,2,30,6958.28515625,7072.5537109375,67.2783385131655,67.91025896365777
62,27,2,31,5543.92919921875,5636.92431640625,65.66166551639864,66.38497973848354
63,27,2,32,4340.37060546875,4326.958984375,61.21832122935269,61.01179640583337
64,27,3,1,3916.322265625,3948.10107421875,41.04098394041602,41.159385158818495
65,27,3,2,3514.15673828125,3376.77734375,42.31682272026936,41.109319865704144
66,27,3,3,974.04248046875,1053.40185546875,14.309070746312338,15.413985515747669
67,27,3,4,2858.955078125,2727.736328125,28.80126539551923,27.73258389616909
68,27,3,5,3134.33984375,3085.14794921875,32.360794643066896,31.980730323122458
69,27,3,6,1960.58984375,1890.8662109375,20.825532314810502,20.15518973648786
70,27,3,7,3196.23486328125,3215.74169921875,38.77409813152591,38.949816080930546
71,27,3,8,3690.91259765625,3732.24609375,38.895068680589254,39.25655148951835
72,27,3,9,3165.84912109375,3001.45849609375,36.039624994761084,34.605953497652
73,27,3,10,4063.43359375,4302.2412109375,37.260609692463746,39.021559092640324
74,27,3,11,2602.8154296875,2519.919921875,25.550455593421816,24.843548297651434
75,27,3,12,2906.2236328125,2853.3828125,35.20459187499985,34.885512406305
76,27,3,13,3694.0791015625,3790.5927734375,40.14085613039013,41.04904162744082
77,27,3,14,3763.81982421875,3592.576171875,38.62463134418957,36.982745933182514
78,27,3,15,5388.646484375,5292.6220703125,47.64183874534393,46.92897293631477
79,27,3,16,4145.34765625,4137.9658203125,37.79148868962543,37.84176371636304
80,27,3,17,3831.97509765625,3761.1669921875,49.146640745316475,48.54839855334298
81,27,3,18,6450.92333984375,6501.15625,78.11799914665274,78.65975144819978
82,27,3,19,4783.87109375,4750.9072265625,55.66953324352599,55.514058555691406
83,27,3,20,6129.30810546875,6125.7216796875,80.27259558667798,80.05195872883736
84,27,3,21,8555.5,8496.7841796875,78.18641870241434,77.8843094845892
85,27,3,22,5021.29052734375,4998.01904296875,51.933680089714805,51.71004285753834
86,27,3,23,1706.0830078125,1934.7763671875,23.926166745905654,26.71072500704941
87,27,3,24,871.3330078125,973.91650390625,12.850321753120642,14.331443915710246
88,27,3,25,4110.07763671875,4196.69580078125,58.072962660832395,59.056632528819094
89,27,3,26,1105.4189453125,1070.4716796875,17.41468573383746,16.868652593592863
90,27,3,27,713.2607421875,786.7177734375,12.591755748774148,13.808302269185441
91,27,3,28,933.79248046875,938.634765625,17.852957293649453,17.98701073892446
92,27,3,29,6275.73193359375,6265.30615234375,68.37201738508173,68.48278572603506
93,27,3,30,5712.4150390625,5606.12109375,58.40496441593468,57.67013447532362
94,27,3,31,4704.158203125,5022.611328125,58.76169364361541,61.49922073027271
95,27,3,32,3880.95166015625,3918.01708984375,56.40133549055506,57.01909632953333
96,27,4,1,3691.724609375,3566.21142578125,39.60746312082619,38.59271052511992
97,27,4,2,3181.9267578125,3152.1484375,39.64502761548633,39.47164878327952
98,27,4,3,881.298828125,899.4140625,13.338100336449129,13.62259984877583
99,27,4,4,2582.1171875,2513.845703125,26.834708870859625,26.149043507922848
100,27,4,5,2798.34619140625,2794.0234375,29.792984197017734,29.774832176525162
101,27,4,6,1467.69775390625,1502.27294921875,16.45526815806018,16.850444924632217
102,27,4,7,2754.29833984375,2777.02294921875,34.88052831778217,35.069189489965524
103,27,4,8,3000.3212890625,3066.8583984375,33.22581880111762,33.69941888876561
104,27,4,9,2985.98876953125,2891.4921875,34.89153296905689,34.075574450063186
105,27,4,10,3788.8623046875,3839.2900390625,35.698157601707855,36.07197856362172
106,27,4,11,2300.8056640625,2336.0751953125,23.512045604102468,23.808495827687608
107,27,4,12,2609.69677734375,2568.5615234375,32.69148923546457,32.21346070080319
108,27,4,13,3105.58642578125,3163.0966796875,35.42379849924633,35.90793896447133
109,27,4,14,2984.38427734375,3033.50732421875,32.16042678100701,32.66138003519421
110,27,4,15,4410.125,4380.2119140625,41.485172344737244,41.25050168245257
111,27,4,16,3859.703125,3751.716796875,36.73349512541861,35.78315606266973
112,27,4,17,3619.78515625,3563.48583984375,46.90934958593355,46.38963351395029
113,27,4,18,5755.3671875,5795.302734375,72.72371890606966,73.14520859497091
114,27,4,19,4229.00927734375,4186.79931640625,51.160063752411354,50.70719876503522
115,27,4,20,5362.83349609375,5301.0712890625,73.76629606261686,73.17983709209916
116,27,4,21,7475.83056640625,7444.82470703125,73.10751093735661,73.12499178680788
117,27,4,22,4533.40283203125,4636.2958984375,48.316199462383665,49.17908600184594
118,27,4,23,1744.0283203125,1522.26318359375,24.49717544193432,21.73688868040085
119,27,4,24,858.57568359375,995.68994140625,12.669962578725977,14.584652325378805
120,27,4,25,3743.54541015625,3757.56005859375,54.56796058183193,54.51842600057526
121,27,4,26,1026.0478515625,966.88427734375,16.320843691401528,15.409296163867875
122,27,4,27,839.12109375,855.763671875,14.755967811499493,15.039189673902783
123,27,4,28,879.7568359375,907.7421875,16.962639003877488,17.520251349131808
124,27,4,29,5604.62158203125,5714.23046875,64.41670777500354,65.1530939126984
125,27,4,30,4759.50732421875,4657.49755859375,51.552028752234634,50.718681999286645
126,27,4,31,4195.11083984375,4474.58056640625,54.14139852089579,56.80433396799547
127,27,4,32,3614.1455078125,3450.35546875,53.92720184386926,51.996618684241966
