,subj,echo,coil,diff_real,diff_imag,perc_real,perc_imag,std_real_orig,std_imag_orig,std_real_def,std_imag_def
31,83,1,32,3475.3564453125,3393.9013671875,48.749053532639124,47.98902012909592,5391.396484375,5375.294921875,8866.7529296875,8769.1962890625
32,83,2,1,5459.71142578125,5715.73388671875,55.26920178471034,57.12670021117581,7148.54150390625,7147.49658203125,12608.2529296875,12863.23046875
33,83,2,2,4445.169921875,4335.12890625,49.785125232418245,48.90019041584591,6706.1259765625,6697.6953125,11151.2958984375,11032.82421875
34,83,2,3,3767.62109375,3746.2919921875,51.05325582537075,50.65230203256694,5495.9755859375,5522.9482421875,9263.5966796875,9269.240234375
35,83,2,4,6767.501953125,6676.7060546875,56.21742516427355,55.762677360047,8654.3349609375,8635.078125,15421.8369140625,15311.7841796875
36,83,2,5,5797.8974609375,5970.89453125,50.39913216046984,51.58790566482689,8605.013671875,8588.7666015625,14402.9111328125,14559.6611328125
37,83,2,6,4789.35693359375,4962.34130859375,48.07741379805571,49.73416388075908,7567.08251953125,7496.56103515625,12356.439453125,12458.90234375
38,83,2,7,4332.85888671875,4483.8740234375,54.03492283713434,55.56710038334328,5852.19775390625,5827.359375,10185.056640625,10311.2333984375
39,83,2,8,5626.6689453125,5701.41943359375,62.13911495712918,62.94216622910213,6241.6201171875,6207.47802734375,11868.2890625,11908.8974609375
40,83,2,9,4370.9716796875,4470.30029296875,47.8946421134497,48.76145086590798,6940.736328125,6932.54345703125,11311.7080078125,11402.84375
41,83,2,10,9207.5234375,9219.6015625,68.28995110735639,68.60551389140605,8879.22265625,8828.771484375,18086.74609375,18048.373046875
42,83,2,11,7449.8896484375,7568.85546875,58.75595093041389,59.453307818924614,8954.4345703125,8946.328125,16404.32421875,16515.18359375
43,83,2,12,11096.31640625,11118.63671875,87.81489932912878,88.04770536631239,7087.87060546875,7068.65087890625,18184.1875,18187.287109375
44,83,2,13,12139.966796875,12081.20703125,91.83038321835815,91.55046690075346,7150.005859375,7155.62255859375,19289.97265625,19236.830078125
45,83,2,14,6955.671875,6456.017578125,59.33386964173716,56.28144459659696,8245.1005859375,8242.943359375,15200.7724609375,14698.9609375
46,83,2,15,9882.4326171875,9843.41796875,82.056604042854,81.88676725322208,7102.2177734375,7099.05859375,16984.650390625,16942.4765625
47,83,2,16,7026.64794921875,7133.10595703125,69.08683527341643,69.62769020498621,6657.42431640625,6678.08642578125,13684.072265625,13811.1923828125
48,83,2,17,1390.5322265625,1388.29931640625,28.457584927026108,28.46596553252148,4191.06640625,4182.900390625,5581.5986328125,5571.19970703125
49,83,2,18,10088.91796875,10062.390625,107.19977055566785,106.61861050972507,4366.86572265625,4406.54736328125,14455.783203125,14468.9384765625
50,83,2,19,4260.91796875,4270.43359375,44.40683696625576,44.41176443704495,7464.7255859375,7480.3291015625,11725.6435546875,11750.7626953125
51,83,2,20,10013.6953125,10011.056640625,82.9611175889779,82.91628048165477,7063.50048828125,7068.1640625,17077.1953125,17079.220703125
52,83,2,21,13190.16015625,13215.5703125,79.21428056163703,78.91189212406749,10056.16015625,10139.462890625,23246.3203125,23355.033203125
53,83,2,22,3270.962890625,3154.046875,31.548448812157524,30.519447200809406,8732.5810546875,8757.5244140625,12003.5439453125,11911.5712890625
54,83,2,23,3828.779296875,3782.92138671875,48.95747758236843,48.52027807672036,5906.232421875,5905.11767578125,9735.01171875,9688.0390625
55,83,2,24,893.4296875,829.78759765625,12.866057138067607,12.015506561632282,6497.3681640625,6491.0791015625,7390.7978515625,7320.86669921875
56,83,2,25,3953.5048828125,4015.81103515625,50.177168000330184,50.84383000005563,5902.3388671875,5890.41943359375,9855.84375,9906.23046875
57,83,2,26,1215.17919921875,1253.6552734375,18.509524418687672,19.067782008649356,5957.56640625,5947.90283203125,7172.74560546875,7201.55810546875
58,83,2,27,912.34326171875,914.37646484375,16.030836864561284,16.084756457160783,5235.0048828125,5227.55126953125,6147.34814453125,6141.927734375
59,83,2,28,1054.19970703125,994.4267578125,19.319864139986358,18.34740013048491,4929.45849609375,4922.77392578125,5983.658203125,5917.20068359375
60,83,2,29,6721.75,6596.6767578125,53.233974598928,52.373956261408104,9265.9296875,9297.0,15987.6796875,15893.6767578125
61,83,2,30,5631.46533203125,5634.36572265625,53.747992473108155,53.768999067968934,7661.80322265625,7661.65380859375,13293.2685546875,13296.01953125
62,83,2,31,6771.08984375,6796.44482421875,70.62220936131864,71.0456146819747,6202.2177734375,6168.08935546875,12973.3076171875,12964.5341796875
63,83,2,32,3936.751953125,3989.19921875,54.13232900930966,54.6076791689565,5304.083984375,5310.5986328125,9240.8359375,9299.7978515625
64,83,3,1,4881.93359375,5047.228515625,50.65047937151297,51.8997513244154,7197.5078125,7201.3427734375,12079.44140625,12248.5712890625
65,83,3,2,3897.91015625,3751.79345703125,44.79410217983315,43.45874501368296,6752.8828125,6757.10302734375,10650.79296875,10508.896484375
66,83,3,3,3005.81591796875,2947.701171875,42.50343463925344,41.81023479114247,5569.02880859375,5576.33984375,8574.8447265625,8524.041015625
67,83,3,4,5288.5341796875,5053.755859375,46.24014523725033,44.450203116296585,8792.8388671875,8842.599609375,14081.373046875,13896.35546875
68,83,3,5,4784.646484375,5061.9033203125,43.01851459505914,45.107307827527755,8729.97265625,8690.9619140625,13514.619140625,13752.865234375
69,83,3,6,3893.490234375,3744.05078125,40.467736418419165,39.267649972427996,7674.4755859375,7662.669921875,11567.9658203125,11406.720703125
70,83,3,7,4021.74169921875,3960.1376953125,50.707120841078556,50.07565037247274,5920.44482421875,5928.2412109375,9942.1865234375,9888.37890625
71,83,3,8,4994.11181640625,4879.19970703125,56.87620490054614,56.01578505224144,6283.61376953125,6270.80126953125,11277.7255859375,11150.0009765625
